Tiktoker name,Subscribers,Views,Likes,Comments,Shares,Month
bear,1200000.0,2800000.0,284400.0,1100.0,371.0,6
beberexha,7300000.0,2000000.0,278000.0,3700.0,1800.0,6
bebopandbebe,750400.0,3300000.0,127200.0,7600.0,354.0,9
bebopandbebe,750400.0,3300000.0,127200.0,7600.0,354.0,6
beca,23000000.0,1700000.0,219800.0,2200.0,1500.0,6
bela,8800000.0,2700000.0,390700.0,936.0,982.0,9
belindatok,4800000.0,14200000.0,1500000.0,14500.0,15300.0,9
bellafoodie,4200000.0,2400000.0,313700.0,474.0,1100.0,9
bellafoodie,4200000.0,2300000.0,271800.0,709.0,778.0,6
bellapoarch,91400000.0,7400000.0,677300.0,4900.0,1100.0,9
bellapoarch,90200000.0,6800000.0,921900.0,9500.0,1200.0,6
bellaretamosa,5400000.0,2300000.0,394300.0,1100.0,709.0,6
ben_brainard,2600000.0,1300000.0,296900.0,1200.0,1100.0,6
benazelart,15700000.0,2600000.0,221600.0,1200.0,452.0,9
benedictpolizzi,2000000.0,3600000.0,360200.0,230.0,775.0,9
benjikrol,31100000.0,1600000.0,234700.0,1800.0,348.0,6
bennyvelour,326600.0,786500.0,184400.0,2500.0,4900.0,9
benorsini,543800.0,2200000.0,293300.0,2800.0,718.0,9
benyaparimm,519299.99999999994,3600000.0,186100.0,1500.0,5200.0,9
berusahalucu,694000.0,3900000.0,239800.0,954.0,940.0,6
bessan_esmail,11300000.0,2100000.0,160500.0,1400.0,1300.0,9
bessan_esmail,10400000.0,2500000.0,175700.0,2600.0,1300.0,6
bhadbhabie,6300000.0,5100000.0,899500.0,3000.0,4000.0,9
bhaviboi,279700.0,3400000.0,346900.0,677.0,791.0,6
bi_131_bi,1400000.0,1100000.0,232100.0,2000.0,1300.0,6
bibidong07,5700.0,1900000.0,149800.0,6600.0,3900.0,6
bigdaddydmurph,1300000.0,1900000.0,125100.0,1400.0,2400.0,9
biggieclean,4800000.0,3700000.0,364500.0,1400.0,456.0,6
bigtugg,1300000.0,2000000.0,444000.0,3100.0,5300.0,9
bigweirdworld,1500000.0,1100000.0,304200.0,2000.0,4500.0,9
bikedasher,4300000.0,2500000.0,398000.0,1500.0,407.0,9
bilal.hd91,2100000.0,1500000.0,175100.0,3100.0,1200.0,6
bilalahy,3500000.0,2200000.0,492000.0,1900.0,4700.0,9
bilalahy,2000000.0,1100000.0,224500.0,1300.0,2100.0,6
bilalfadilii,1300000.0,1600000.0,190500.0,2000.0,2600.0,9
billlnai,8700000.0,3400000.0,934200.0,2600.0,1900.0,9
billlnai,8500000.0,1700000.0,403700.0,958.0,912.0,6
birovr,3000000.0,6400000.0,760900.0,6100.0,14300.0,9
bizarrap,5800000.0,16200000.0,2700000.0,4200.0,6900.0,9
blacchyna,1100000.0,1700000.0,174200.0,3700.0,1100.0,6
blacksels,59100.0,620800.0,208800.0,1800.0,5400.0,6
blakeb628,568400.0,1300000.0,161300.0,1100.0,10300.0,6
blamerobertjames,159300.0,3500000.0,347200.0,4400.0,3900.0,9
blkk.1,470500.0,1600000.0,237200.0,1100.0,1600.0,9
blondebrunetteredhead,12000000.0,14200000.0,2600000.0,9800.0,7500.0,6
bobbialthoff,3500000.0,2900000.0,207400.0,477.0,1100.0,9
boberrybiscuits2,59800.0,1500000.0,309900.0,1900.0,7500.0,6
booboothafoocloset,1400000.0,1200000.0,314500.0,673.0,1300.0,6
boomershroomer,63800.0,4099999.9999999995,286400.0,2400.0,3200.0,9
borhen.kachbouri,204100.0,3600000.0,331200.0,926.0,604.0,6
botakteras,2800000.0,2400000.0,207100.0,1700.0,529.0,6
boywithuke,5800000.0,1600000.0,242300.0,1600.0,306.0,9
boywithuke,4900000.0,1700000.0,209300.0,2200.0,691.0,6
bp_tiktok,31200000.0,4500000.0,839600.0,13900.0,22200.0,9
braceletsbyk_,274100.0,1700000.0,226100.0,1100.0,1800.0,9
bradley.thor,5700000.0,1300000.0,142400.0,1800.0,3200.0,9
brandonrogers,1500000.0,2700000.0,497000.0,1700.0,4700.0,6
brandonspam_,8500000.0,1500000.0,236500.0,1400.0,220.0,9
brandonspam_,8000000.0,1900000.0,380200.0,2100.0,348.0,6
brendadialoy,371900.0,1200000.0,187500.0,626.0,2000.0,9
brentfordfc,1200000.0,1900000.0,252300.0,1600.0,1100.0,9
brentrivera,44900000.0,4900000.0,574400.0,2000.0,813.0,9
brentrivera,43900000.0,2900000.0,540200.0,2200.0,321.0,6
bretmanrock,14400000.0,2900000.0,599900.0,2000.0,1400.0,9
bretmanrock,14200000.0,3200000.0,617200.0,1700.0,1400.0,6
bricks.and.disorder,755300.0,2500000.0,448100.0,1200.0,666.0,6
briggi_bozzo,23900000.0,5200000.0,361900.0,787.0,245.0,9
briggi_bozzo,22000000.0,3600000.0,335000.0,388.0,571.0,6
brilionaire,4400000.0,2200000.0,229400.0,612.0,2000.0,9
brilionaire,3900000.0,4099999.9999999995,369600.0,2100.0,7000.0,6
britneyspears,7100000.0,1300000.0,107800.0,3500.0,2300.0,9
brittany_broski,7000000.0,1300000.0,236700.0,1200.0,1400.0,6
brittikitty,13500000.0,3100000.0,433300.0,1200.0,1700.0,9
brittikitty,12600000.0,3700000.0,550900.0,2100.0,2000.0,6
brodywellmaker,21600000.0,3000000.0,430300.0,3600.0,1000.0,9
brodywellmaker,21100000.0,6300000.0,853000.0,6100.0,16400.0,6
brookemonk_,23600000.0,5900000.0,678900.0,1900.0,1400.0,9
brookemonk_,23600000.0,5700000.0,620800.0,1800.0,1300.0,9
brookemonk_,20300000.0,2700000.0,466900.0,2200.0,1200.0,6
brunabarbieoficial,18400000.0,2600000.0,168800.0,12000.0,1900.0,6
brunocampos,5200000.0,5400000.0,360600.0,626.0,619.0,9
brycehall,22700000.0,4800000.0,497800.0,1500.0,711.0,9
bryceheemjames,834600.0,1400000.0,237600.0,1800.0,688.0,9
bstchld,4400000.0,2800000.0,362700.0,3100.0,5200.0,6
bswagggy,16800.0,1200000.0,294600.0,1300.0,5100.0,9
bu_kre_sabi,472400.0,5100000.0,255200.0,659.0,2600.0,9
bukanstreet,1000000.0,1300000.0,171500.0,2400.0,1500.0,6
bulochkapelmen,3000000.0,2900000.0,184800.0,1900.0,1200.0,9
burnaboyofficial,972800.0,1300000.0,164500.0,1800.0,2400.0,6
busheadoph,14300000.0,3200000.0,209900.0,709.0,215.0,9
c4tluvr666,2600000.0,1600000.0,312600.0,934.0,765.0,9
c4tluvr666,2400000.0,2700000.0,558500.0,1400.0,1500.0,6
cakelegend,1300000.0,3500000.0,900600.0,14600.0,1100.0,6
caleb.green,2900000.0,3100000.0,256399.99999999997,897.0,329.0,6
calebrownn,5500000.0,834600.0,148200.0,1900.0,2800.0,9
calfreezy,960600.0,6500000.0,869100.0,1700.0,2400.0,9
camilo,28800000.0,2400000.0,275900.0,567.0,1500.0,9
camimendes,2600000.0,6200000.0,971200.0,2800.0,777.0,6
