Tiktoker name,Subscribers,Views avg.,Likes avg.,Comments avg.,Shares avg.,Month
fahmi.nm,8.3M,2.7M,260.9K,1.4K,738,6
faithkristin,592.1K,1.8M,271.7K,4.8K,5.1K,6
farhakhalidi,1.4M,2M,364.7K,2.6K,2.2K,6
farhanrn__,4.7M,4.2M,688K,3.2K,1.7K,6
faryanggaa,5.2M,1.8M,344.4K,1.5K,491,6
fedevigevani,13.6M,3.3M,437.7K,2.3K,561,6
fedez,5.5M,2.8M,422.4K,1.2K,2.3K,6
felipenpv,2.2M,2.8M,515.5K,5.5K,4.5K,6
femin,2.1M,2.9M,254.5K,4.5K,573,6
fendibaee,54.9K,788.7K,206K,3.6K,3.1K,6
ferchugimenez,6.1M,4.1M,729.3K,1.8K,1.2K,6
ferxxo444,2.6M,1.2M,234.8K,1.4K,4.5K,6
firmanskd,2.7M,2.3M,212.6K,654,9.9K,6
firmanskd,2.7M,2.3M,212.6K,654,9.9K,6
flavinhalouise,11.5M,1.4M,128K,740,3.6K,6
fleekedbymitch,821.2K,5.6M,590.9K,3.2K,3.8K,6
flickerspark_,1.2M,2.1M,516.8K,1.4K,1.5K,6
fontenel.le,243.8K,1.2M,259.5K,2.2K,540,6
foodtimecali,4.1M,3.8M,284K,655,20.8K,6
football.clips_09,224.5K,3.3M,323K,1.7K,1.1K,6
fox.brown,391.7K,1.8M,308.2K,1.6K,3.4K,6
frankielapenna,3.4M,7.1M,316.7K,1.2K,4.1K,6
freeritzyralph,1.6M,1.1M,281.5K,2K,2.4K,6
frnzlynfby,2.4M,1.4M,324.7K,1.5K,1.7K,6
fujiiian,15.4M,4.3M,449.4K,2.1K,1.9K,6
furryfritz,3.9M,1.7M,271.6K,1.1K,2.5K,6
fyp,8.3M,1.8M,372.2K,762,544,6
g.catt.eng,2M,1.9M,219.9K,1.1K,1.3K,6
gameboytok,33.9K,2.8M,424.5K,1.3K,3.1K,6
gemelasabello2,15.7M,5.7M,554.8K,1K,1.8K,6
german_crusader,158.6K,1.1M,208.9K,1.7K,4.6K,6
germangarmendia,17.5M,8.8M,1.6M,17.2K,9K,6
ghait6h,1.1M,1.6M,176.5K,4.3K,674,6
giangiu88,3.7M,2.5M,304.5K,1.2K,2.7K,6
giannis_an34,3.4M,1.7M,210.3K,1.8K,764,6
gil_foot2,1.5M,1.2M,210.6K,513,3.3K,6
glbtfilms,76.3K,684.7K,195.6K,2.4K,3.4K,6
goldens.fourever7,965K,1.2M,171.5K,1.3K,7K,6
gordonramsayofficial,32.8M,11.2M,648.3K,5K,1.9K,6
grbgt9,132.6K,2.2M,177.6K,1.1K,2K,6
greenshrimps,83.3K,1.5M,334.9K,2.8K,1.3K,6
gregisms,2.4M,1.1M,180.6K,6.6K,6.4K,6
gtcreationslime,4.1M,3.1M,183.9K,728,946,6
guilhermebatilani,398.7K,2.1M,323.3K,983,2.7K,6
guiraya,733.2K,2.2M,197.3K,1.3K,1.3K,6
gustavomeloof,5M,1.4M,113.4K,1.2K,8.8K,6
gusyterequijas,1.8M,1.6M,236.9K,777,2.7K,6
gutierrezcastro,13M,1.4M,229.9K,2K,2K,6
gzfoodqood,17.1M,2.5M,237.5K,745,808,6
haidang_doo,2.6M,4.5M,317.3K,607,398,6
haileybieber,9M,2.4M,257K,2.5K,805,6
hakobone,299.2K,2.9M,195.8K,1.6K,6.5K,6
halinhofficial,1.3M,3.2M,223.3K,3.2K,1.2K,6
haqiemstopa,846.7K,2.1M,156.4K,2.5K,697,6
haritsuuu,1.8M,6.7M,307.3K,7K,8.8K,6
harry.shin,904.5K,4.3M,509.6K,2.4K,833,6
hasanmucci,2.1M,2.5M,196.6K,1.6K,619,6
hat590,3.6M,1.5M,191.3K,2.4K,306,6
hayleygeorgiamorris,3.2M,2.4M,366.7K,1.4K,9.6K,6
herranwalt,5.5M,1.8M,282K,2.3K,1.6K,6
hikakin,1.6M,4.8M,454.5K,4.1K,6.3K,6
hoaa.hanassii,12.8M,6M,618.5K,3.8K,849,6
hoaminzy_hoadambut,4.2M,2.8M,280.2K,789,268,6
hoaminzy_hoadambut,4.2M,2.8M,280.2K,789,268,6
homm9k,42.1M,2.2M,301.9K,2.3K,569,6
hourialesyeuxverts_off,143.2K,1M,102.1K,1.5K,6K,6
how.kev.eats,2.2M,2.6M,305.9K,1.4K,401,6
howridiculous,13.6M,13.9M,516.3K,889,758,6
hstikkytokky,808.7K,1.6M,161.4K,2.5K,1.7K,6
hunterprosper,4.7M,2.2M,384.6K,1.2K,1.9K,6
i.f.t.fishing,9.7K,3.8M,154.5K,2.1K,12K,6
iamdikeh,2.8M,1.8M,174.5K,2.4K,1.3K,6
iamferv,29.3M,10M,1.4M,10.2K,6.4K,6
iamkelianne,9.9M,4.2M,452.5K,360,263,6
iamnotshaneofficial,225.5K,2.2M,187.4K,554,2.8K,6
iampauloandre,1.4M,4.3M,854.1K,5.5K,6.4K,6
iamzario,2M,1.2M,244.6K,1.8K,1.5K,6
iben_ma,7M,5.2M,379.1K,20.9K,1.1K,6
ig_alongwiranda,880.7K,3.2M,129.4K,1.2K,20K,6
ikercasillas,2.4M,1.3M,212.1K,2.4K,3K,6
ikhmal_azzarin,407.4K,4.4M,303.7K,4K,3.8K,6
iloveyourmomscatt,8.2K,1.3M,159.3K,4.9K,3.3K,6
ilusha_help,4.6M,2.3M,75.9K,1.2K,7.9K,6
ilyasikuba,2.7M,1.9M,188.8K,558,2.4K,6
imdimpey,8M,1.4M,330K,3.1K,4.7K,6
imma.tokyo,486.9K,9.9M,1.2M,5.7K,3.1K,6
inachitomer,1.3M,2.9M,516.2K,1.1K,1K,6
incorrectlyroce,6.5M,3.9M,650.4K,2K,2.3K,6
infinite,7.3M,4.8M,722.3K,6.9K,382,6
infinite,7.3M,4.8M,722.3K,6.9K,382,6
ingratax,14.8M,3.1M,617.8K,784,420,6
initiaraandini,4.7M,3.5M,338.6K,1.3K,1.2K,6
iqmorteza,873.5K,3.7M,429.8K,6.5K,2K,6
isaach.p,1.8M,1.2M,189.4K,3.2K,2.1K,6
isaiahgarza,7.5M,1.6M,297.3K,1.5K,954,6
isaliagomez_,703.8K,1.6M,297.3K,863,3.7K,6
its.michhh,30.2M,2.4M,369.7K,1.9K,193,6
itsjojosiwa,41.8M,3.5M,429.2K,2.2K,619,6
itskingchris,16.2M,1.8M,355K,3K,1.8K,6
itslennnie,2.3M,764.7K,120.6K,1.5K,20.4K,6
itsmenicksmithy,7.4M,2.2M,415.4K,3.4K,2.4K,6
itsoraida,4.2M,1.1M,254.5K,1.7K,2.1K,6
itsqcp,10.1M,1.6M,297.7K,1.5K,916,6
itssassagurl,6M,3.9M,716.4K,3.3K,6.5K,6
itstalasafwan,4.7M,2.9M,177.6K,4.6K,1.4K,6
itsthescotts,6.2M,1.5M,231.7K,517,2.2K,6
itzyofficial,8.4M,1.2M,332.4K,3.8K,2.3K,6
ivanmartinez,12.4M,3M,392.1K,1.3K,489,6
ivanovik.83,172.7K,2.3M,91.5K,1.1K,11.1K,6
ive.official,2.2M,7.7M,1.5M,12K,14K,6
jack_papho69,6.7M,3.3M,313.1K,2.3K,964,6
jackgrealish,3M,2M,256K,4.5K,1.7K,6
jacobday,3.7M,1.2M,193.1K,3.4K,1.2K,6
jadepicon,8.1M,2.8M,342.7K,1.8K,843,6
