Tiktoker name,Subscribers,Views avg.,Likes avg.,Comments avg.,Shares avg.,Month
ajkhiphop,36.5K,4.6M,670.6K,686,355,9
ustazebitlew,4.1M,1.9M,156.3K,6.3K,4.4K,9
cedricgrolet,1.3M,3.3M,251.8K,1.1K,2.7K,9
danythegaggio,3.2M,2M,217.2K,2.3K,5.2K,9
dylanpage.ning,3.1M,1.6M,239.4K,5.4K,3K,9
mastermind_ph,2.1M,2.6M,273K,2.1K,2.3K,9
maluborgesm,2.9M,1.9M,280.4K,4.8K,1K,9
vito.video,1.9M,2.2M,340K,2K,2.2K,9
frnzlynfby,3.7M,1.9M,361K,2.6K,2K,9
carolvillanes,6.3M,2M,294.7K,4.8K,467,9
mariabecerra_22,8.3M,2.7M,388.3K,2.2K,712,9
onerepublic,691.7K,2.8M,323K,955,2.5K,9
ngikuttrendaja,192.8K,3.7M,304.5K,1.5K,1.2K,9
flickerspark_,1.2M,2.1M,516.8K,1.4K,1.5K,9
cvsthetico,168.2K,2.3M,313.1K,2.5K,1.8K,9
yahia_x,2.2M,4M,189.9K,1K,3.1K,9
jennialarcon_,3.1M,2M,348.4K,2.5K,1.9K,9
airiiqtieeee,53.1K,1.8M,321.3K,2.7K,2.6K,9
officialsunnydaze,1.6M,3.1M,495.3K,844,1.2K,9
los_chicaneros,3.7M,1.9M,218.2K,1.2K,6.1K,9
videoschapin,56K,2.9M,78.8K,2.7K,10.6K,9
wuesilva,13.1M,4.1M,283.4K,1.2K,1.4K,9
ladygaga,7.6M,1.9M,247.5K,4.4K,2K,9
cx_.q,3.3M,3.1M,254K,2.3K,1.5K,9
mitsy270,2.3M,1.9M,338.3K,2.7K,2.1K,9
ayesebastien,7.2M,2M,396.5K,2.1K,1.8K,9
karljacobs,11.2M,1.9M,486.5K,2.6K,563,9
liltjay,5.2M,1.9M,291.9K,3.9K,1.4K,9
irenehsuu,98.6K,1.4M,401.7K,1.3K,3.9K,9
doctormiguelpadilla,5.9M,2.1M,321.7K,1.7K,2.6K,9
jacobday,5.6M,1.8M,296.6K,4.4K,1K,9
louflores_,2.8M,2.2M,237.1K,842,4.7K,9
pakoyaso_,12.8M,3.2M,282.6K,1.2K,2K,9
ella.tchella,2M,1.6M,381.6K,1.5K,3.4K,9
nashvibes,3.7M,4.4M,365.5K,1.3K,493,9
jamesdroz566,103.4K,1.9M,155.4K,2.2K,7.4K,9
egyptianbeaman,872.4K,2.2M,80.5K,1.7K,14.2K,9
mattiastanga,2.7M,1.5M,213.4K,1.4K,7.4K,9
gorillaz,2.3M,1.8M,340.9K,2.8K,1.7K,9
lonely.moods,354.5K,815.5K,214K,5.4K,10.6K,9
rayanfahmi,3.7M,2.9M,235.9K,2.8K,1.2K,9
melmaia,11.8M,3.5M,473.9K,988,662,9
vietduongg_,161.2K,1.2M,129.7K,12.7K,4.8K,9
leen_mohd98,3.8M,2.9M,190.1K,2.7K,2.3K,9
jubiandxian,5.7M,2.5M,396.2K,1.8K,934,9
adrianbliss,7.3M,2.3M,413.3K,1.1K,1.7K,9
dxddy._.desi,2.9M,1.9M,250.8K,4.9K,764,9
frankielapenna,4.8M,2.7M,295.2K,1.4K,2K,9
xxxten1369,3.7M,2.8M,335.1K,1K,1.8K,9
softbulletgun97,1.3M,2.3M,188.3K,2.2K,4.1K,9
katiessigmond,6.9M,2.9M,340K,1.1K,1.6K,9
nnatalieaguilar,4.9M,3.4M,558.8K,568,825,9
elchimbatv,3.3M,3M,285.2K,773,2.4K,9
deiveleonardooficial,6.1M,1.3M,139.3K,370,14.2K,9
vitoou,52.4K,1M,179.3K,3.3K,10.9K,9
