Tiktoker name,Subscribers,Views,Likes,Comments,Shares avg.,Month
ericdamier,740.5K,1.5M,195.7K,321,2.4K,12
erictro,7.2M,4.9M,485.5K,987,486,12
erikconover,2.1M,1.3M,250.9K,1.5K,3.1K,12
esnyrrr,23M,2.3M,270.8K,456,406,12
esperandolacarrozaok,23M,2.3M,270.8K,456,406,11
eupereiraoficial,4.8M,1.6M,520.3K,3K,10.5K,11
evgeniy_moskalev,1.2M,4.1M,217.2K,3.9K,5.3K,12
evtushenko_dima,1.1M,3.3M,137.3K,2.5K,2.4K,11
fabstarden,361.6K,880.1K,50.4K,971,12.2K,12
faiqfreestyle,2.2M,2.6M,190.7K,812,797,11
farahjmerhi,2.8M,1.6M,184.1K,1.6K,1.5K,12
farhanrn__,2.6M,1.4M,191.7K,1.4K,1.3K,11
faryanggaa,1.9M,1.4M,203.7K,1.6K,1.3K,12
fatmasariz,2.8M,1.8M,440.2K,1K,1.2K,11
fayneee,613.9K,4.3M,991.3K,6.8K,8.9K,11
fcbarcelona,5.7M,4.4M,527K,1.7K,3.8K,11
fedevigevani,6.5M,4.5M,449.9K,1K,1.7K,12
fedez,5.6M,3.2M,303.8K,653,651,11
feliciatannnn,5.9M,1.5M,225.1K,977,748,12
felipenpv,5.9M,2.4M,221.3K,721,559,11
ferchugimenez,381.8K,1.6M,179.5K,805,2.5K,12
ferxxo444,17.2M,1.3M,182.5K,1.2K,905,12
fhd.artz,29.6M,4.1M,417.9K,1.2K,520,12
firmanskd,4.8M,844K,120.7K,994,4K,12
firstnamechris,3.7M,1.5M,288.9K,649,634,11
flossybaby,7.7M,2M,166.5K,2.2K,7.7K,12
foilarmsandhog,4M,2.3M,232.6K,720,403,11
francoescamillaofficial,1.2M,1.5M,326.6K,1.2K,1.3K,11
frankielapenna,4M,2.3M,157.9K,1.2K,499,12
fredziownik_art,3M,4.3M,230.2K,1.8K,2K,11
fresajapomex,792.5K,1.1M,257.4K,1.2K,516,12
fujiiian,4.9M,4M,589.2K,682,383,12
gabimfmoura,4.5M,5M,599.2K,998,587,11
gabrielabee,3M,2.1M,139.7K,2.4K,1.1K,12
gabsmasr,2.9M,1.9M,154.8K,1.8K,1.1K,11
garett__nolan,4.2M,2.6M,324.8K,1.1K,2K,11
gehadhassann,2.3M,1.3M,170.5K,620,982,11
gehadhassann,5.1M,2.4M,238.5K,752,169,11
gehu.gl,13.5M,3.8M,368.1K,856,295,12
gemeosdomingues,6.5M,1.2M,196.5K,1K,3.3K,11
georainbolt,10.1M,1.7M,379K,1.1K,938,12
germangarmendia,2M,1.6M,270K,890,345,11
gilmhercroes,719K,2M,268.2K,22.6K,5.5K,11
girlwithedogs,2M,3.2M,362.1K,1.8K,1.3K,12
glutastory,3.8M,3M,231.5K,983,4.4K,12
good.boy.ollie,3.2M,9.3M,797.6K,2.2K,6.7K,12
gordeewa__13,2.5M,6.9M,599.3K,2.2K,5.5K,11
gordonramsayofficial,3.2M,1.3M,180K,3.6K,8.4K,12
goulamofficiel,3.2M,2M,229.7K,3.2K,5.1K,11
graciajessicajane,26.5M,2.8M,178.9K,628,870,12
graciajessicajane,26.4M,1.7M,209K,1.4K,1K,11
grannybibbins,8.6M,1.9M,97.2K,2.4K,1.7K,12
gugafoods,8.6M,1.9M,106K,3.4K,1.1K,11
guipolemicoo,10.5M,2.1M,123.6K,2.9K,1.1K,12
gurrms0630,4.4M,19.8M,3.6M,23.3K,24.2K,12
gustta_shoow,15.2M,3.5M,391.5K,1.2K,266,12
gusyterequijas,14.5M,1.8M,247.7K,616,257,11
gutierrezcastro,1.2M,2.1M,176.4K,424,738,11
hadeel.alali,20.3M,2.8M,474K,1.9K,2K,12
hafizmahamad,18.3M,3.7M,488.1K,1.7K,1.6K,11
